id,thumb_url
3519,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3519
3520,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3520
3521,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3521
3522,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3522
3523,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3523
3524,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3524
3525,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3525
3526,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3526
3527,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3527
3528,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=3528
