id,thumb_url
1859,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1859
1860,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1860
1861,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1861
1862,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1862
1863,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1863
1864,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1864
1865,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1865
1866,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1866
1867,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1867
1868,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=1868
