id,thumb_url
2030,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2030
2031,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2031
2032,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2032
2033,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2033
2034,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2034
2035,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2035
2036,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2036
2037,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2037
2038,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2038
2039,http://image.oml.city.osaka.lg.jp/archive/get-thumbnail?data_no=2039
